case_id,faa_ors,faa_asn,usgs_pr_id,t_state,t_county,t_fips,p_name,p_year,p_tnum,p_cap,t_manu,t_model,t_cap,t_hh,t_rd,t_rsa,t_ttlh,t_conf_atr,t_conf_loc,t_img_date,t_img_srce,xlong,ylat,eia_id,retrofit,retrofit_year,offshore
3000554,,,38810.0,TX,Howard County,48227,Big Spring I,1999,46,34.32,Vestas,V47-0.66,660.0,65.0,47.0,1734.94,88.4,3,3,11/21/2017,Maxar,-101.4083,32.2142,54979.0,0,,0
3002009,,,39851.0,TX,Howard County,48227,Big Spring I,1999,46,34.32,Vestas,V47-0.66,660.0,65.0,47.0,1734.94,88.4,3,3,11/21/2017,Maxar,-101.35889,32.1759,54979.0,0,,0
3009792,,,38803.0,TX,Howard County,48227,Big Spring I,1999,46,34.32,Vestas,V47-0.66,660.0,65.0,47.0,1734.94,88.4,3,3,1/12/2018,Maxar,-101.42149,32.2152,54979.0,0,,0
3006690,,,39853.0,TX,Howard County,48227,Big Spring I,1999,46,34.32,Vestas,V47-0.66,660.0,65.0,47.0,1734.94,88.4,3,3,11/21/2017,Maxar,-101.36119,32.16719,54979.0,0,,0
3109891,48-178210,2019-WTW-9763-OE,,TX,Stonewall County,48433,Amadeus,2020,96,250.12,GE Wind,GE2.82-127,2820.0,89.0,127.0,12667.69,152.4,3,3,1/28/2021,Maxar,-100.51762,33.01464,62142.0,0,,0
3106328,48-176317,2019-WTW-5174-OE,,TX,Kent County,48263,Amadeus,2020,96,250.12,GE Wind,GE2.82-127,2820.0,89.0,127.0,12667.69,152.4,3,3,2/2/2022,Maxar,-100.52744,33.07086,62142.0,0,,0
3105881,48-177867,2019-WTW-5149-OE,,TX,Kent County,48263,Amadeus,2020,96,250.12,GE Wind,GE2.82-127,2820.0,89.0,127.0,12667.69,152.4,3,3,2/2/2022,Maxar,-100.52064,33.03036,62142.0,0,,0
3106322,48-178029,2019-WTW-5137-OE,,TX,Kent County,48263,Amadeus,2020,96,250.12,GE Wind,GE2.82-127,2820.0,89.0,127.0,12667.69,152.4,3,3,1/28/2021,Maxar,-100.56281,33.00883,62142.0,0,,0
3106788,48-176191,2019-WTW-5178-OE,,TX,Kent County,48263,Amadeus,2020,96,250.12,GE Wind,GE2.82-127,2820.0,89.0,127.0,12667.69,152.4,3,3,2/2/2022,Maxar,-100.53799,33.08588,62142.0,0,,0
3105974,48-176824,2019-WTW-5159-OE,,TX,Stonewall County,48433,Amadeus,2020,96,250.12,GE Wind,GE2.82-127,2820.0,89.0,127.0,12667.69,152.4,3,3,2/2/2022,Maxar,-100.49732,33.03795,62142.0,0,,0
3106533,48-176367,2019-WTW-5106-OE,,TX,Fisher County,48151,Amadeus,2020,96,250.12,GE Wind,GE1.79-100,1790.0,80.0,100.0,7853.98,130.1,3,3,10/31/2020,Maxar,-100.55681,32.89385,62142.0,0,,0
3107782,48-176229,2019-WTW-5104-OE,,TX,Fisher County,48151,Amadeus,2020,96,250.12,GE Wind,GE1.79-100,1790.0,80.0,100.0,7853.98,130.1,3,3,10/31/2020,Maxar,-100.5651,32.89236,62142.0,0,,0
3107734,48-176321,2019-WTW-9776-OE,,TX,Fisher County,48151,Amadeus,2020,96,250.12,GE Wind,GE2.82-127,2820.0,89.0,127.0,12667.69,152.4,3,3,10/31/2020,Maxar,-100.56575,32.89686,62142.0,0,,0
3108364,48-176021,2019-WTW-5109-OE,,TX,Fisher County,48151,Amadeus,2020,96,250.12,GE Wind,GE1.79-100,1790.0,80.0,100.0,7853.98,130.1,3,3,10/31/2020,Maxar,-100.57878,32.90409,62142.0,0,,0
3107006,48-176178,2019-WTW-9772-OE,,TX,Fisher County,48151,Amadeus,2020,96,250.12,GE Wind,GE2.82-127,2820.0,89.0,127.0,12667.69,152.4,3,3,10/31/2020,Maxar,-100.57687,32.88889,62142.0,0,,0
3106620,48-176999,2019-WTW-5145-OE,,TX,Kent County,48263,Amadeus,2020,96,250.12,GE Wind,GE2.82-127,2820.0,89.0,127.0,12667.69,152.4,3,3,1/28/2021,Maxar,-100.53352,33.02515,62142.0,0,,0
3107086,48-176787,2019-WTW-5125-OE,,TX,Kent County,48263,Amadeus,2020,96,250.12,GE Wind,GE2.82-127,2820.0,89.0,127.0,12667.69,152.4,3,3,1/28/2021,Maxar,-100.54147,32.99033,62142.0,0,,0
3107556,48-176365,2019-WTW-5164-OE,,TX,Kent County,48263,Amadeus,2020,96,250.12,GE Wind,GE2.82-127,2820.0,89.0,127.0,12667.69,152.4,3,3,2/2/2022,Maxar,-100.52293,33.05171,62142.0,0,,0
3110159,48-178613,2019-WTW-5140-OE,,TX,Kent County,48263,Amadeus,2020,96,250.12,GE Wind,GE2.82-127,2820.0,89.0,127.0,12667.69,152.4,3,3,2/2/2022,Maxar,-100.55832,33.03214,62142.0,0,,0
3106839,48-176194,2019-WTW-9775-OE,,TX,Fisher County,48151,Amadeus,2020,96,250.12,GE Wind,GE2.82-127,2820.0,89.0,127.0,12667.69,152.4,3,3,10/31/2020,Maxar,-100.5686,32.89082,62142.0,0,,0
3106676,48-176659,2019-WTW-5157-OE,,TX,Stonewall County,48433,Amadeus,2020,96,250.12,GE Wind,GE2.82-127,2820.0,89.0,127.0,12667.69,152.4,3,3,2/2/2022,Maxar,-100.50671,33.04271,62142.0,0,,0
3106529,48-176954,2019-WTW-5154-OE,,TX,Kent County,48263,Amadeus,2020,96,250.12,GE Wind,GE2.82-127,2820.0,89.0,127.0,12667.69,152.4,3,3,2/2/2022,Maxar,-100.52367,33.03871,62142.0,0,,0
3107735,48-176189,2019-WTW-9773-OE,,TX,Fisher County,48151,Amadeus,2020,96,250.12,GE Wind,GE2.82-127,2820.0,89.0,127.0,12667.69,152.4,3,3,10/31/2020,Maxar,-100.57236,32.8898,62142.0,0,,0
3107183,48-176784,2019-WTW-5124-OE,,TX,Kent County,48263,Amadeus,2020,96,250.12,GE Wind,GE2.82-127,2820.0,89.0,127.0,12667.69,152.4,3,3,1/28/2021,Maxar,-100.53662,32.98877,62142.0,0,,0
3106906,48-176179,2019-WTW-5183-OE,,TX,Kent County,48263,Amadeus,2020,96,250.12,GE Wind,GE2.82-127,2820.0,89.0,127.0,12667.69,152.4,3,3,2/2/2022,Maxar,-100.54065,33.09126,62142.0,0,,0
3106153,48-176271,2019-WTW-5105-OE,,TX,Fisher County,48151,Amadeus,2020,96,250.12,GE Wind,GE1.79-100,1790.0,80.0,100.0,7853.98,130.1,3,3,10/31/2020,Maxar,-100.5603,32.89323,62142.0,0,,0
3107783,48-176368,2019-WTW-5092-OE,,TX,Fisher County,48151,Amadeus,2020,96,250.12,GE Wind,GE1.79-100,1790.0,80.0,100.0,7853.98,130.1,3,3,10/31/2020,Maxar,-100.60146,32.87976,62142.0,0,,0
